,0.0002,0.0004,0.0008,0.0012,0.0016,0.002,0.004,0.006,0.008,0.012,0.016,0.02
M1,0.13075059119842797,0.13122390957353572,0.13449344215032918,0.13740506994902082,0.1365699074650442,0.1425058099121124,0.13259812706428328,0.13447638192903255,0.12871428595823628,0.1399760145727703,0.14400081631784978,0.11738789783113002
M2,0.1114767535972711,0.11737598071632908,0.11353341600653391,0.11183273806294763,0.10547492767569298,0.10156456867844493,0.11491136061026244,0.11391213472267138,0.11238356189442628,0.0694676736380873,0.05107875334660481,0.12530510387748206
Mrem,0.12561043632990934,0.13808959394132075,0.10476551734962775,0.1037341023318895,0.11272556692743403,0.11710240657866094,0.14379435187878511,0.134953498807769,0.13605980514929594,0.15458318585929573,0.13415460240190383,0.1171352334408588
Mtot,0.03947558425969949,0.03699749412551545,0.03447748354736125,0.03756462535001575,0.0371542081186308,0.03193636181838822,0.05775818363257294,0.052188594997801305,0.052467000772116495,0.029459929153766808,0.02407349443653675,0.06777589250543957
S1,0.11273478992833964,0.11308515716096398,0.11197062498562556,0.11414925222002531,0.11048320340731399,0.10796391244576693,0.1539527948766536,0.10576860039902898,0.10744470255414829,0.10765631620094705,0.11287854144215627,0.1423273245449113
S2,0.007887572103897704,0.007691891371690515,0.00632849210316174,0.006120251815200087,0.007003227473475964,0.005968626619410964,0.008757847201473061,0.00618782403430469,0.005962146447146394,0.006130521427237758,0.007675879684544675,0.004937506839673574
Srem,0.007705014150374334,0.012295022242287103,0.009566156165444992,0.006708914562267634,0.015033287627740853,0.0074893536094763425,0.005574100801062384,0.007075908455541024,0.007056102469471292,0.011535993287375394,0.010689941379629232,0.00727725890090753
Z-No correlation,0.0002,0.0004,0.0008,0.0012,0.0016,0.002,0.004,0.006,0.008,0.012,0.016,0.02
esca_v,0.16050680976529408,0.15560982720507696,0.15714997294510236,0.15937577205257686,0.15559176142847744,0.15979844365335724,0.15965353031537613,0.15915097900160918,0.1693125401891161,0.15865971513620386,0.1597249261585216,0.15257801920015418
t_elapsed,0.2403318987096073,0.2224104905846737,0.2552839197632067,0.2562037020508371,0.2533278244502565,0.2578959000473798,0.1570130870903016,0.22089419102855012,0.23177452239652008,0.25015673944836075,0.2803551665523551,0.20488056749548636
t_pair,0.06352054995717904,0.06522063307860677,0.07243097498360651,0.06690557160521932,0.06663608542593336,0.06777461663700232,0.06598661652922956,0.0653918866236918,0.048825332169522784,0.07237391127595506,0.07536787827989802,0.06039519536395663
