,0.02
t_elapsed,0.266044496524434
Mrem,0.1596624376352017
esca_v,0.1515243345108144
M1,0.14680766495497147
S1,0.10123931131257173
t_pair,0.06604785092809758
Mtot,0.044857274157772874
M2,0.0349006000010633
S2,0.015260034932146992
Srem,0.012758784983422448
gen,0.0008972100595035988
Z-No correlation,0.02
